region,percentile,f_GHz,R_mm_per_h,pol,k,alpha,gammaR_dB_per_km,d_eff_km,A_R_dB
costa,50,6,5,V,0.0004878,1.5728,0.006131712995185142,20.0,0.12263425990370283
costa,50,7,5,V,0.001425,1.4745,0.015291360804250278,20.0,0.30582721608500557
costa,50,11,5,V,0.01731,1.1617,0.11227692812512453,20.0,2.2455385625024906
costa,50,15,5,V,0.05008,1.044,0.2687750830519588,20.0,5.375501661039176
costa,50,18,5,V,0.07708,1.0025,0.38695381729794637,20.0,7.739076345958927
costa,50,23,5,V,0.1284,0.963,0.6048854497997191,20.0,12.097708995994383
costa,50,32,5,V,0.2646,0.8981,1.12288375990605,20.0,22.457675198121
costa,50,38,5,V,0.3844,0.8552,1.5224482057746898,20.0,30.448964115493794
costa,95,6,15,V,0.0004878,1.5728,0.0345142251793152,20.0,0.6902845035863039
costa,95,7,15,V,0.001425,1.4745,0.0772611958401285,20.0,1.5452239168025699
costa,95,11,15,V,0.01731,1.1617,0.402311348581551,20.0,8.04622697163102
costa,95,15,15,V,0.05008,1.044,0.8462595732708694,20.0,16.925191465417388
costa,95,18,15,V,0.07708,1.0025,1.1640541759854623,20.0,23.28108351970925
costa,95,23,15,V,0.1284,0.963,1.7423720917472318,20.0,34.84744183494464
costa,95,32,15,V,0.2646,0.8981,3.0118781621576356,20.0,60.237563243152714
costa,95,38,15,V,0.3844,0.8552,3.8956203311571334,20.0,77.91240662314267
sierra,50,6,10,V,0.0004878,1.5728,0.018240712402912935,20.0,0.3648142480582587
sierra,50,7,10,V,0.001425,1.4745,0.04249275255793976,20.0,0.8498550511587952
sierra,50,11,10,V,0.01731,1.1617,0.2511869472649963,20.0,5.023738945299926
sierra,50,15,10,V,0.05008,1.044,0.5541971910160153,20.0,11.083943820320306
sierra,50,18,10,V,0.07708,1.0025,0.7752498769617397,20.0,15.504997539234795
sierra,50,23,10,V,0.1284,0.963,1.1791390538849176,20.0,23.58278107769835
sierra,50,32,10,V,0.2646,0.8981,2.092617437189194,20.0,41.85234874378388
sierra,50,38,10,V,0.3844,0.8552,2.7541232975114216,20.0,55.08246595022843
sierra,95,6,30,V,0.0004878,1.5728,0.10267343820554266,20.0,2.0534687641108533
sierra,95,7,30,V,0.001425,1.4745,0.21469906564840024,20.0,4.293981312968005
sierra,95,11,30,V,0.01731,1.1617,0.9000545453794807,20.0,18.001090907589614
sierra,95,15,30,V,0.05008,1.044,1.7449336190381275,20.0,34.89867238076255
sierra,95,18,30,V,0.07708,1.0025,2.3321461537997297,20.0,46.642923075994595
sierra,95,23,30,V,0.1284,0.963,3.3965091745198555,20.0,67.93018349039711
sierra,95,32,30,V,0.2646,0.8981,5.6129663513414325,20.0,112.25932702682866
sierra,95,38,30,V,0.3844,0.8552,7.04721426423805,20.0,140.944285284761
selva,50,6,20,V,0.0004878,1.5728,0.05426274667895402,20.0,1.0852549335790804
selva,50,7,20,V,0.001425,1.4745,0.11808197079807409,20.0,2.3616394159614815
selva,50,11,20,V,0.01731,1.1617,0.5619576838261316,20.0,11.239153676522633
selva,50,15,20,V,0.05008,1.044,1.1427194926051516,20.0,22.854389852103033
selva,50,18,20,V,0.07708,1.0025,1.5531888945455874,20.0,31.063777890911748
selva,50,23,20,V,0.1284,0.963,2.298565635620723,20.0,45.97131271241446
selva,50,32,20,V,0.2646,0.8981,3.899822844347359,20.0,77.99645688694719
selva,50,38,20,V,0.3844,0.8552,4.982235263652532,20.0,99.64470527305065
selva,95,6,60,V,0.0004878,1.5728,0.30543449427528335,20.0,6.108689885505667
selva,95,7,60,V,0.001425,1.4745,0.59662147717308,20.0,11.9324295434616
selva,95,11,60,V,0.01731,1.1617,2.013610074670941,20.0,40.27220149341882
selva,95,15,60,V,0.05008,1.044,3.597942559256489,20.0,71.95885118512977
selva,95,18,60,V,0.07708,1.0025,4.672381917343682,20.0,93.44763834687363
selva,95,23,60,V,0.1284,0.963,6.621016617081544,20.0,132.42033234163088
selva,95,32,60,V,0.2646,0.8981,10.460380388933617,20.0,209.20760777867233
selva,95,38,60,V,0.3844,0.8552,12.748477691440877,20.0,254.96955382881754
