region,percentile,f_ghz,gamma_db_per_km
coast,50,6.0,0.014098639471176287
coast,50,7.0,0.019134592480607938
coast,50,11.0,0.04683371178340346
coast,50,15.0,0.08721937852065832
coast,50,18.0,0.13083466263227977
coast,50,23.0,0.33661540565130293
coast,50,32.0,0.3435948430325378
coast,50,38.0,0.4581729143234111
coast,95,6.0,0.014410907707603
coast,95,7.0,0.019559065682238686
coast,95,11.0,0.04789155084162178
coast,95,15.0,0.0892748958926945
coast,95,18.0,0.13417890724282572
coast,95,23.0,0.34871743555115176
coast,95,32.0,0.35232038997961335
coast,95,38.0,0.47027799549589183
highlands,50,6.0,0.014218455835215712
highlands,50,7.0,0.019297247646903774
highlands,50,11.0,0.04723214714860264
highlands,50,15.0,0.08796135411029792
highlands,50,18.0,0.13194390529859557
highlands,50,23.0,0.33937346395893625
highlands,50,32.0,0.34655795227713426
highlands,50,38.0,0.46214711038743267
highlands,95,6.0,0.01615353119523415
highlands,95,7.0,0.021928182648349198
highlands,95,11.0,0.053808279708714414
highlands,95,15.0,0.10083321949290303
highlands,95,18.0,0.15317345809190933
highlands,95,23.0,0.4193855157356045
highlands,95,32.0,0.4016686080369194
highlands,95,38.0,0.53896233538357
rainforest,50,6.0,0.01435853749418785
rainforest,50,7.0,0.019488006672220913
rainforest,50,11.0,0.0477185731228015
rainforest,50,15.0,0.08895782166117652
rainforest,50,18.0,0.13372065900672928
rainforest,50,23.0,0.34779559247236497
rainforest,50,32.0,0.35108717722845445
rainforest,50,38.0,0.46864914808721037
rainforest,95,6.0,0.015046058522846888
rainforest,95,7.0,0.020422726391003225
rainforest,95,11.0,0.05005346755210864
rainforest,95,15.0,0.09352077596913592
rainforest,95,18.0,0.14122393246754913
rainforest,95,23.0,0.3758774416180264
rainforest,95,32.0,0.3705927453371553
rainforest,95,38.0,0.49581213096283105
