site,n,r,bias,RMSE,MAE,slope,intercept,mean_POWER,mean_ERA5_used,var
L01-A,12,1.0,0.0,2.2569,1.9589,0.9984,0.3006,186.442,186.442,SP
L02-A,12,1.0,0.0,2.3353,1.9536,0.999,0.1888,189.4841,189.4841,SP
L03-A,12,0.9999,0.0,2.9459,2.4245,0.9982,0.3538,193.3298,193.3298,SP
L04-A,12,1.0,0.0,2.1235,1.7918,0.9988,0.2271,189.7621,189.7621,SP
L05-A,12,1.0,0.0,2.8236,2.3595,0.9987,0.2413,190.9577,190.9577,SP
L06-A,12,1.0,0.0,2.351,1.9435,0.9989,0.2118,189.16,189.16,SP
L07-A,12,1.0,0.0,2.3959,2.031,0.9983,0.3255,191.5666,191.5666,SP
L08-A,12,1.0,0.0,1.9745,1.7136,0.9978,0.4206,189.8133,189.8133,SP
L09-A,12,1.0,0.0,2.5152,2.0901,0.9989,0.2066,190.3112,190.3112,SP
L10-A,12,1.0,0.0,2.1046,1.7968,0.9985,0.2787,189.7421,189.7421,SP
L01-A,12,1.0,0.8647,2.4169,2.0847,0.9984,1.1653,186.442,187.3067,T
L02-A,12,1.0,0.3323,2.3588,2.0186,0.999,0.5211,189.4841,189.8163,T
L03-A,12,0.9999,0.7489,3.0396,2.5292,0.9982,1.1027,193.3298,194.0786,T
L04-A,12,1.0,0.5577,2.1955,1.9017,0.9988,0.7849,189.7621,190.3198,T
L05-A,12,1.0,0.5115,2.8695,2.469,0.9987,0.7528,190.9577,191.4692,T
L06-A,12,1.0,0.5645,2.4178,2.073,0.9989,0.7763,189.16,189.7245,T
L07-A,12,1.0,0.8058,2.5278,2.1596,0.9983,1.1312,191.5666,192.3724,T
L08-A,12,1.0,1.1224,2.2712,1.8401,0.9978,1.543,189.8133,190.9356,T
L09-A,12,1.0,0.4127,2.5489,2.1774,0.9989,0.6193,190.3112,190.7239,T
L10-A,12,1.0,0.7898,2.2479,1.9422,0.9985,1.0685,189.7421,190.532,T
L01-A,12,1.0,0.8647,2.4169,2.0847,0.9984,1.1653,186.442,187.3067,RH
L02-A,12,1.0,0.3323,2.3588,2.0186,0.999,0.5211,189.4841,189.8163,RH
L03-A,12,0.9999,0.7489,3.0396,2.5292,0.9982,1.1027,193.3298,194.0786,RH
L04-A,12,1.0,0.5577,2.1955,1.9017,0.9988,0.7849,189.7621,190.3198,RH
L05-A,12,1.0,0.5115,2.8695,2.469,0.9987,0.7528,190.9577,191.4692,RH
L06-A,12,1.0,0.5645,2.4178,2.073,0.9989,0.7763,189.16,189.7245,RH
L07-A,12,1.0,0.8058,2.5278,2.1596,0.9983,1.1312,191.5666,192.3724,RH
L08-A,12,1.0,1.1224,2.2712,1.8401,0.9978,1.543,189.8133,190.9356,RH
L09-A,12,1.0,0.4127,2.5489,2.1774,0.9989,0.6193,190.3112,190.7239,RH
L10-A,12,1.0,0.7898,2.2479,1.9422,0.9985,1.0685,189.7421,190.532,RH
L01-A,12,0.9902,0.1127,0.2145,0.125,0.8439,0.3441,1.4827,1.5953,PRECI
L02-A,12,0.9339,0.3029,0.6965,0.3155,0.6031,0.7941,1.2374,1.5404,PRECI
L03-A,12,0.994,0.0704,0.1355,0.083,0.891,0.25,1.6479,1.7183,PRECI
L04-A,12,0.9904,0.1332,0.25,0.1434,0.8301,0.3768,1.4336,1.5668,PRECI
L05-A,12,0.9902,0.0944,0.1892,0.1097,0.8553,0.3214,1.568,1.6624,PRECI
L06-A,12,0.9849,0.1236,0.2537,0.1363,0.824,0.3831,1.4741,1.5977,PRECI
L07-A,12,0.9531,0.1933,0.4772,0.2032,0.6726,0.6714,1.4602,1.6535,PRECI
L08-A,12,0.8765,0.3654,0.9711,0.3708,0.4732,1.0153,1.2335,1.5989,PRECI
L09-A,12,0.9956,0.0783,0.1452,0.0919,0.8881,0.2526,1.5576,1.6359,PRECI
L10-A,12,0.9927,0.1025,0.1936,0.1117,0.8564,0.3205,1.5185,1.621,PRECI
